dlc,file,tag,status,lang_flag,en_sha,it_sha
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldSurgeon15.title,translated,,67f5f686e554,f738f3d99688
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,GlitterworldSurgeon15.titleShort,translated,,5424e8c423c3,a562918b31c4
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,NavyScientist52.description,translated,,f2cf56941a86,1af742804968
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,NavyScientist52.title,translated,,587ce313f554,e9148124485f
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,NavyScientist52.titleFemale,translated,,,c134a8f12d96
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,NavyScientist52.titleShort,translated,,dd3fb353b512,55cf5a6276db
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,NavyScientist52.titleShortFemale,translated,,,7911f6b2027d
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Novelist7.description,translated,,10d9751594c5,591d7a3acaf4
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Novelist7.title,translated,,b9a49421c8f0,75028e14bcba
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Novelist7.titleFemale,translated,,,76c783688deb
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Novelist7.titleShort,translated,,b9a49421c8f0,75028e14bcba
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Novelist7.titleShortFemale,translated,,,76c783688deb
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Sculptor63.description,translated,,a4b826930609,c832e7e022d3
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Sculptor63.title,translated,,85762c790ee0,cbcdecb4d700
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Sculptor63.titleFemale,translated,,,24c54cfd362e
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Sculptor63.titleShort,translated,,85762c790ee0,cbcdecb4d700
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,Sculptor63.titleShortFemale,translated,,,24c54cfd362e
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,VRDesigner87.description,translated,,dc17b5519e75,d1740e593e45
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,VRDesigner87.title,translated,,c96efc294c4a,ad09ec15ce37
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,VRDesigner87.titleFemale,translated,,,1d0342e96d18
Core,Core\DefInjected\BackstoryDef\Offworld_Glitterworld_Adult.xml,VRDesigner87.titleShort,translated,,9f1c029db2fd,7eb3bc982806
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Blacksmith72.description,translated,,2fac11baed3c,ef184611cce8
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Blacksmith72.title,translated,,34ae707a963a,08aaa1412a21
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Blacksmith72.titleShort,translated,,34ae707a963a,08aaa1412a21
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Herbalist54.description,translated,,d5d750700e65,9f330f1cd6e1
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Herbalist54.title,translated,,87ca0a76da6c,153ea405fbcc
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Herbalist54.titleShort,translated,,87ca0a76da6c,153ea405fbcc
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalDoctor40.description,translated,,b7bb337149ea,a8812d808d00
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalDoctor40.title,translated,,b29556a78425,91470114cf89
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalDoctor40.titleShort,translated,,a524ca3d36aa,007847b5c429
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalDoctor40.titleShortFemale,translated,,,d5d3db24cfa6
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalFarmOaf58.description,translated,,ec06d2dd3e70,e62faaac4d2f
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalFarmOaf58.title,translated,,d0bc19a532be,9ad37175a570
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalFarmOaf58.titleFemale,translated,,,ab486ea49c2e
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalFarmOaf58.titleShort,translated,,0747d869d6e2,f2d7ad93d9b3
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalFarmOaf58.titleShortFemale,translated,,,a915be824a4e
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalLord57.description,translated,,250626d983ce,ffc83e254c03
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalLord57.title,translated,,0fb727a5cba2,2cdcf211357d
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalLord57.titleFemale,translated,,,04bf1e97c062
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalLord57.titleShort,translated,,8eca84b70eb5,780e9b6f6720
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalMinstrel95.description,translated,,6d1208069700,4a3a9b8cb353
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalMinstrel95.title,translated,,fd6a31e41668,d03dbdd4fc23
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalMinstrel95.titleShort,translated,,a08a0a30b679,b93f3b9dba31
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalSailor97.description,translated,,72b217f8cf40,510fc9d7f3c0
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalSailor97.title,translated,,e82a77c2085d,a5b3aa1ed3fe
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalSailor97.titleFemale,translated,,,3dd867242423
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalSailor97.titleShort,translated,,994a4f198a9a,4d5ec90ea7d2
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MedievalSailor97.titleShortFemale,translated,,,7764e277e8bd
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MessageCarrier77.description,translated,,f46e77e5ee53,193928bbec1b
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MessageCarrier77.title,translated,,a12cbf677b18,f3f6bec993de
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MessageCarrier77.titleFemale,translated,,,7d1d7a61f340
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MessageCarrier77.titleShort,translated,,5df9221d482c,f3f6bec993de
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,MessageCarrier77.titleShortFemale,translated,,,7d1d7a61f340
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Taster16.description,translated,,17010bb0b1b9,0e86fb3dae56
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Taster16.title,translated,,dc8a8779a519,b5b4ae380ddb
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Taster16.titleFemale,translated,,,df4b59d2cee1
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Taster16.titleShort,translated,,dc8a8779a519,b5b4ae380ddb
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Adult.xml,Taster16.titleShortFemale,translated,,,df4b59d2cee1
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,ConventChild16.description,translated,,d29a4698fd2c,22f86a538994
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,ConventChild16.title,translated,,1d32fd66e958,f002b6307f71
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,ConventChild16.titleFemale,translated,,,896f5e5cde09
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,ConventChild16.titleShort,translated,,3d7601691205,81370bbf8c45
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,ConventChild16.titleShortFemale,translated,,,2715ce6eac40
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalLordling19.description,translated,,0741d0cb906e,c51377e11fcf
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalLordling19.title,translated,,db95cac4adfc,acd3ba61b0eb
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalLordling19.titleFemale,translated,,98eb575d2520,9e12eb12b093
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalLordling19.titleShort,translated,,cca54714b8cb,cd4526322ce2
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalLordling19.titleShortFemale,translated,,5c05775c9d03,03cea3587827
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalSlave49.description,translated,,e6cbfa1b9040,e1daaf7dd262
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalSlave49.title,translated,,694db340e6fb,4b51b3d92a72
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalSlave49.titleFemale,translated,,,4ca79742b54f
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalSlave49.titleShort,translated,,e25c8f72bd1a,c3a6d442b700
Core,Core\DefInjected\BackstoryDef\Offworld_Medieval_Child.xml,MedievalSlave49.titleShortFemale,translated,,,241f3a969c0c
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Actor72.description,translated,,45f9f58ada67,36682b880b88
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Actor72.title,translated,,4ed3655ea94b,2f2627b1ca6d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Actor72.titleFemale,translated,,,588b3a1bf950
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Actor72.titleShort,translated,,4ed3655ea94b,2f2627b1ca6d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Actor72.titleShortFemale,translated,,,588b3a1bf950
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AnimalFarmer21.description,translated,,240cb853988e,631c1fb60492
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AnimalFarmer21.title,translated,,712d5807a1ac,7800c5ea420d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AnimalFarmer21.titleFemale,translated,,,a3309e2966a3
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AnimalFarmer21.titleShort,translated,,712d5807a1ac,8672d2f256e1
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AnimalFarmer21.titleShortFemale,translated,,,ab4b2fe49f82
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AsceticPriest84.description,translated,,739db67424bd,5bea92e71058
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AsceticPriest84.title,translated,,d589f341fa34,6a1e0163eb47
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AsceticPriest84.titleFemale,translated,,,bbff73df7593
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AsceticPriest84.titleShort,translated,,cb418d42a0be,997d5e09ae44
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,AsceticPriest84.titleShortFemale,translated,,,29e916af291f
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bartender62.description,translated,,8addf52e9a48,e1da6f5d585b
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bartender62.title,translated,,c5e50d412e71,e1386ca04939
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bartender62.titleShort,translated,,ced5dd51fb42,e1386ca04939
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bodyguard58.description,translated,,c83e02a2126b,dda35a09de07
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bodyguard58.title,translated,,1ddf5181ebf2,bde1d18f1670
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Bodyguard58.titleShort,translated,,1ddf5181ebf2,bde1d18f1670
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CaveExplorer45.description,translated,,ce39fc80881a,76991ad799a8
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CaveExplorer45.title,translated,,521d0d424dab,3e178a2245a7
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CaveExplorer45.titleFemale,translated,,,04fe5fd80f7c
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CaveExplorer45.titleShort,translated,,521d0d424dab,3e178a2245a7
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CaveExplorer45.titleShortFemale,translated,,,04fe5fd80f7c
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Chef52.description,translated,,a697a35e138e,67c2c60d5da6
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Chef52.title,keep,,d5f2e5c77054,d5f2e5c77054
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Chef52.titleShort,keep,,d5f2e5c77054,d5f2e5c77054
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CivilServant2.description,translated,,7f03739be3fe,f3fde944218d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CivilServant2.title,translated,,3be54879c8e5,ea8a95572c9a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CivilServant2.titleShort,translated,,5690f6f3a666,20b6e91a36ad
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConArtist80.description,translated,,4cc757992f64,7144946b5153
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConArtist80.title,translated,,a022aea9d127,fad2404ccce0
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConArtist80.titleFemale,translated,,,3acca3a8aaf2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConArtist80.titleShort,translated,,a022aea9d127,fad2404ccce0
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConArtist80.titleShortFemale,translated,,,3acca3a8aaf2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConceptualArtist39.description,translated,,337b4154e99c,29ab95ef65a4
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConceptualArtist39.title,translated,,9afbf0b2a82d,4a15b5c654c0
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConceptualArtist39.titleShort,translated,,55051f2531bd,0bc2569d3611
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConstructionEngineer32.description,translated,,8448a328f1dd,68011d279b9d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConstructionEngineer32.title,translated,,b910ed60a31f,47bd07f1f056
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConstructionEngineer32.titleShort,translated,,f52318a05e51,9f2c24985c90
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ConstructionEngineer32.titleShortFemale,translated,,,99873e05d642
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ContractMiner86.description,translated,,91dff6eea21b,c6995618e87a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ContractMiner86.title,translated,,29d59e753cfc,9de2b98e8599
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ContractMiner86.titleFemale,translated,,,710bcb8cfe1a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ContractMiner86.titleShort,translated,,29d59e753cfc,9de2b98e8599
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ContractMiner86.titleShortFemale,translated,,,710bcb8cfe1a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CorporateManager76.description,translated,,25c9d9006cfd,c4118c5d26dd
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CorporateManager76.title,translated,,b37ffe9bf27f,03fd26b75955
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CorporateManager76.titleShort,keep,,1a8565a9dc72,1a8565a9dc72
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Counselor26.description,translated,,966f4c2e2b73,8da8336ce332
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Counselor26.title,translated,,e8b84350e731,c5fd208d6298
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Counselor26.titleShort,translated,,e8b84350e731,c5fd208d6298
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CropFarmer17.description,translated,,4b2e1955f891,9052c96ffe70
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CropFarmer17.title,translated,,3775f2b6454e,0b9022000f1d
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CropFarmer17.titleShort,translated,,43cf2e256880,a6d592b452d5
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,CropFarmer17.titleShortFemale,translated,,,96326deb1963
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Defector78.description,translated,,cd3c81828be0,d28769eb733f
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Defector78.title,translated,,b32fadcb03e3,e4353c6ef549
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Defector78.titleShort,translated,,b32fadcb03e3,e4353c6ef549
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Drifter67.description,translated,,74ab1af3348d,368f9454017e
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Drifter67.title,translated,,e058473e76f7,a167d858e8a2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Drifter67.titleFemale,translated,,,ce7984f441f8
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Drifter67.titleShort,translated,,e058473e76f7,a167d858e8a2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Drifter67.titleShortFemale,translated,,,ce7984f441f8
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,EscapedConvict90.description,translated,,f00c9c0e4432,45a50d7fb21a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,EscapedConvict90.title,translated,,98219976c7e3,b63f1ed4649c
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,EscapedConvict90.titleFemale,translated,,,f0c9f2ce0e12
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,EscapedConvict90.titleShort,translated,,89ff498b8c1b,8a23744b17eb
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,EscapedConvict90.titleShortFemale,translated,,,2c7911d8ef0a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Evangelist39.description,translated,,b32c9aa4082f,a1ae339d2409
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Evangelist39.title,translated,,0ce33d66d748,3633de9f3ec8
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Evangelist39.titleShort,translated,,0ce33d66d748,3633de9f3ec8
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ExplosivesExpert26.description,translated,,d3f915bd107e,de67ec24a063
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ExplosivesExpert26.title,translated,,b4a85103bc66,622edff5276e
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ExplosivesExpert26.titleFemale,translated,,,0b4a8dd00715
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,ExplosivesExpert26.titleShort,translated,,c7629f8beed2,62be4ba4cde2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Forester96.description,translated,,6299f940703c,4d636fdc342e
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Forester96.title,translated,,3bf501886d61,22492ad8e798
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Forester96.titleShort,translated,,3bf501886d61,22492ad8e798
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,FurnitureBuilder83.description,translated,,d34677fb0355,197c3d8a1c4e
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,FurnitureBuilder83.title,translated,,8ea8862175c4,16623bc33510
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,FurnitureBuilder83.titleShort,translated,,f52318a05e51,9f2c24985c90
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Gardener99.description,translated,,d9c8af8b2356,cbe310e3f3eb
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Gardener99.title,translated,,746aced590a1,cc1dbcd920ed
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Gardener99.titleFemale,translated,,,186fd24920f2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Gardener99.titleShort,translated,,746aced590a1,cc1dbcd920ed
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Gardener99.titleShortFemale,translated,,,186fd24920f2
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Geologist66.description,translated,,834acf02fbc0,af720768eb85
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Geologist66.title,translated,,c7344302bb6e,0d1d564173cb
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Geologist66.titleFemale,translated,,,03d28f17a70a
Core,Core\DefInjected\BackstoryDef\Offworld_Nonspecific_Adult.xml,Geologist66.titleShort,translated,,c7344302bb6e,0d1d564173cb
